adr,arps,avg_goal_success,cost_return_per_episode_mean,cost_return_per_episode_std,cost_value,cost_value_loss,entropy,grad_norm,lag_loss,lagrangian,num_steps,num_steps_per_episode_mean,num_steps_per_episode_std,policy_loss,remaining,return_per_episode_mean,return_per_episode_std,sps,success_per_episode_mean,success_per_episode_std,value,value_loss,violation_per_episode_mean,violation_per_episode_std
0.0,0.0,{},0.0,0.0,-0.08739912025339436,0.0750745294499211,1.1841996982693672,0.5198433727533728,-0.10006461812008638,2.1586699350737035,32768,0.0,0.0,0.11978587342309766,4:04:48,0.0,0.0,338.1614152584218,0.0,0.0,0.47653414658270776,0.0006521719376451074,0.0,0.0
0.0,0.0,"{((frozenset({surface_0}), frozenset()),) x 0: 0.0}",0.0,0.0,8.566344376959023e-06,0.000134244976663922,1.3042970318347216,0.1675098392604552,-0.10797776217805222,4.105567269027233,65536,2500.0,0.0,0.1307205431512557,4:21:54,0.0,0.0,314.00618428282763,0.0,0.0,0.4556020109448582,0.0010163042919089094,0.0,0.0
0.0,0.0,"{((frozenset({entrapped_0}), frozenset({surface_0})),) x 0: 0.0}",0.0,0.0,4.301160197428544e-05,5.680718115286254e-05,1.3939646044746041,0.11705582621815686,-0.05706505768466741,4.72333188354969,98304,2500.0,0.0,0.07865438959561288,4:18:16,0.0,0.0,316.30922548012467,0.0,0.0,0.4348603799007833,0.0009262046845606164,0.0,0.0
0.0,0.0,"{((frozenset({surface_0}), frozenset()),) x 0: 0.0, ((frozenset({entrapped_0}), frozenset({surface_0})),) x 0: 0.0}",0.23529411764705882,0.42418250299576343,0.06265401096607093,0.06455079754232429,1.4635471599176526,0.40478088291802256,-0.06177414083504118,4.993744932115078,131072,2270.0,560.7351267335953,0.08258689002832398,4:52:32,0.0,0.0,277.3904530803494,0.0,0.0,0.41427073697559536,0.0008947810304675841,0.058823529411764705,0.23529411764705882
0.0,0.0,"{((frozenset({entrapped_0}), frozenset({surface_0})),) x 0: 0.0}",0.0625,0.24206145913796356,-4.375717048787919e-05,0.0005094415337225655,1.5066310605034232,0.14995420328218526,-0.046129551315971185,4.991343028843403,163840,2362.875,531.082841348692,0.06534966785693541,4:27:34,0.0,0.0,301.2253476949748,0.0,0.0,0.3894999180920422,0.000698779550404538,0.0625,0.24206145913796356
0.020733495352408805,0.00012799705345747066,"{((frozenset({surface_0}), frozenset({entrapped_0})),) x 0: 0.12, ((frozenset({entrapped_0}), frozenset()),) x 0: 0.0, ((frozenset({entrapped_0}), frozenset({surface_0})),) x 0: 0.0}",0.8666666666666667,0.33993463423951903,0.2027759561315179,0.4364014263264835,1.5738918771967292,1.3552826907951674,-0.06733642256585881,4.999537821859121,196608,1042.3666666666666,462.91399369165276,0.08691562700551003,4:40:16,0.1,0.3,285.6424892580751,0.1,0.3,0.3653964982368052,0.0014639806548757406,0.1,0.30000000000000004
0.0,0.0,"{((frozenset({surface_0}), frozenset({entrapped_0})),) x 0: 0.0, ((frozenset({entrapped_0}), frozenset()),) x 0: 0.0, ((frozenset({entrapped_0}), frozenset({surface_0})),) x 0: 0.0}",0.75,0.4330127018922193,0.11858430557185784,0.1015460480703041,1.595712917856872,0.3392051945716641,-0.021384729607234476,4.999861367046833,229376,1477.4375,692.436185575068,0.03755445130809676,4:10:14,0.0,0.0,317.73043430030833,0.0,0.0,0.34930449933744967,0.00037459652855886816,0.125,0.33071891388307384
0.02715125316228405,0.00017316017316017316,"{((frozenset({entrapped_0}), frozenset({surface_0})),) x 0: 0.0, ((frozenset({surface_0}), frozenset({entrapped_0})),) x 0: 0.1111111111111111, ((frozenset({entrapped_0}), frozenset()),) x 0: 0.0, ((frozenset({surface_0}), frozenset()),) x 0: 1.0}",0.5,0.5,0.27476478938478976,0.2594772909069434,1.6134122647345066,0.6011848563778399,-0.03199570401920937,4.999965809285641,262144,1859.9583333333333,706.7044690655509,0.049170607177075,5:24:05,0.08333333333333333,0.2763853991962833,243.64778490212666,0.08333333333333333,0.2763853991962833,0.33197763259522617,0.000996764429828545,0.0,0.0
0.0,0.0,"{((frozenset({surface_0}), frozenset({entrapped_0})),) x 0: 0.0, ((frozenset({surface_0}), frozenset()),) x 0: 0.0}",0.75,0.4330127018922193,0.1307596968836151,0.0958612744580023,1.5900401566177607,0.4614298388374116,-6.687412042083452e-05,4.999960616230965,294912,1823.8125,577.4751313638969,0.014785944797154116,4:11:02,0.0,0.0,312.3774326523821,0.0,0.0,0.32036271202377975,0.0002524046257335044,0.0625,0.24206145913796356
0.031014834491427952,0.00017806267806267807,"{((frozenset({surface_0}), frozenset()),) x 0: 0.0, ((frozenset({surface_0}), frozenset({entrapped_0})),) x 0: 0.25, ((frozenset({entrapped_0}), frozenset()),) x 0: 0.0}",0.0,0.0,0.0030705804219905986,0.004231044707012188,1.6195949343964458,0.2804007558239191,-0.02686297442414798,4.9999930784106255,327680,2365.6875,520.1900756874837,0.04173278086818755,3:59:41,0.0625,0.24206145913796356,324.89522154988737,0.0625,0.24206145913796356,0.3035509465262294,0.000572565814067616,0.0,0.0
0.0,0.0,"{((frozenset({surface_0}), frozenset({entrapped_0})),) x 0: 0.0, ((frozenset({surface_0}), frozenset()),) x 0: 0.0, ((frozenset({entrapped_0}), frozenset()),) x 0: 0.0}",0.0,0.0,4.089395520168182e-05,0.0004599364597197564,1.6424485445022583,0.04808561162694262,-0.06165739192510955,5.00000000372529,360448,2478.0625,84.9635721574252,0.07591843162663281,4:39:38,0.0,0.0,276.51815790610374,0.0,0.0,0.28754786401987076,0.00037977697323299253,0.0,0.0
0.0,0.0,"{((frozenset({surface_0}), frozenset({entrapped_0})),) x 0: 0.0, ((frozenset({surface_0}), frozenset()),) x 0: 0.0, ((frozenset({entrapped_0}), frozenset()),) x 0: 0.0}",0.0,0.0,2.834832571352308e-06,3.098931679801353e-05,1.6830350067466497,0.01988462775092164,-0.06080626303446479,4.999951906502247,393216,2500.0,0.0,0.0738794002099894,5:40:24,0.0,0.0,225.5517712944078,0.0,0.0,0.2739283724222332,0.00029719157831209486,0.0,0.0
0.0,0.0,"{((frozenset({surface_0}), frozenset({entrapped_0})),) x 0: 0.0, ((frozenset({entrapped_0}), frozenset()),) x 0: 0.0}",0.0,0.0,9.246903118764749e-07,1.1729623327738636e-05,1.661478060297668,0.024158091668736833,-0.05984694373910315,4.999980870634317,425984,2500.0,0.0,0.0724025938543491,5:25:29,0.0,0.0,234.20508867323696,0.0,0.0,0.26213883608579636,0.0002730780626905016,0.0,0.0
0.0,0.0,"{((frozenset({entrapped_0}), frozenset()),) x 0: 0.0, ((frozenset({surface_0}), frozenset({entrapped_0})),) x 0: 0.0}",0.0,0.0,1.4701014151796699e-05,8.083810133285851e-06,1.6895454227924347,0.05002974374210202,-0.05997758769080974,5.0,458752,2500.0,0.0,0.07229054038180038,4:48:16,0.0,0.0,262.5576827937392,0.0,0.0,0.2508954891236499,0.00026823062764336214,0.0,0.0
0.0,0.0,"{((frozenset({surface_0}), frozenset({entrapped_0})),) x 0: 0.0, ((frozenset({entrapped_0}), frozenset({surface_0})),) x 0: 0.0, ((frozenset({entrapped_0}), frozenset()),) x 0: 0.0}",0.0,0.0,1.1007731586687441e-05,4.660738689210575e-06,1.6882961941882968,0.04432831253551555,-0.05952187572256662,5.0,491520,2500.0,0.0,0.0706613400252536,5:23:18,0.0,0.0,232.41008761074752,0.0,0.0,0.24138526746537536,0.000178915806994695,0.0,0.0
0.0,0.0,"{((frozenset({entrapped_0}), frozenset()),) x 0: 0.0, ((frozenset({surface_0}), frozenset({entrapped_0})),) x 0: 0.0}",0.0,0.0,-8.82762151377392e-07,4.965634271769659e-06,1.688637075945735,0.04010078809311338,-0.06015485600801185,5.0,524288,2500.0,0.0,0.07138476916588843,5:15:29,0.0,0.0,236.44552620549126,0.0,0.0,0.2304304731078446,0.00022440947064694683,0.0,0.0
0.0,0.0,"{((frozenset({surface_0}), frozenset({entrapped_0})),) x 0: 0.0, ((frozenset({entrapped_0}), frozenset()),) x 0: 0.0}",0.0,0.0,1.6804603319542366e-05,1.180148934665226e-05,1.6839620973914862,0.06779379336730154,-0.0597718310309574,5.0,557056,2500.0,0.0,0.07077805628068745,3:53:36,0.0,0.0,316.98672822923004,0.0,0.0,0.21810975787229836,0.00021874433146251704,0.0,0.0
0.0,0.0,"{((frozenset({surface_0}), frozenset({entrapped_0})),) x 0: 0.0, ((frozenset({entrapped_0}), frozenset()),) x 0: 0.0, ((frozenset({entrapped_0}), frozenset({surface_0})),) x 0: 0.0, ((frozenset({surface_0}), frozenset()),) x 0: 0.0}",0.0,0.0,1.904288637888385e-08,7.385157651640384e-06,1.679692478850484,0.06477474777125873,-0.05974551258259453,5.00000000372529,589824,2500.0,0.0,0.06970515928696841,4:26:16,0.0,0.0,276.04339251195864,0.0,0.0,0.20599368296097964,0.00016845146796384824,0.0,0.0
0.0,0.0,"{((frozenset({surface_0}), frozenset({entrapped_0})),) x 0: 0.0, ((frozenset({surface_0}), frozenset()),) x 0: 0.0, ((frozenset({entrapped_0}), frozenset()),) x 0: 0.0}",0.0,0.0,-5.22822620041552e-06,7.467266078364787e-06,1.6871920432895422,0.08045757026905007,-0.059988800348946825,4.999999348074198,622592,2500.0,0.0,0.06973147680400871,3:54:42,0.0,0.0,310.84718835118434,0.0,0.0,0.19611322577111423,0.00015967761628132848,0.0,0.0
0.0,0.0,"{((frozenset({surface_0}), frozenset({entrapped_0})),) x 0: 0.0, ((frozenset({entrapped_0}), frozenset()),) x 0: 0.0}",0.0,0.0,3.190511961292941e-07,6.101947558789789e-06,1.6884698793292046,0.07691576869155121,-0.059620963264023885,5.0,655360,2500.0,0.0,0.06817113739089109,3:59:46,0.0,0.0,302.0034350954958,0.0,0.0,0.18833790044300258,9.063123648012095e-05,0.0,0.0
